topic,chinese,japanese,indonesian
监控告警配置,配置Kubernetes时，需要注意监控告警配置和性能监控的兼容性。,クバネテスを設定する場合、監視アラート設定とパフォーマンス監視の互換性に注意する必要があります。,"Saat mengkonfigurasi Kubernetes, perlu diperhatikan kompatibilitas antara konfigurasi pemantauan alarm dan pemantauan kinerja."
监控告警配置,配置弹性计算时，需要注意监控告警配置和数据存储的兼容性。,弾性コンピューティングを設定する場合、監視アラート設定とデータストレージの互換性に注意する必要があります。,"Saat mengkonfigurasi komputasi elastis, perlu diperhatikan kompatibilitas antara konfigurasi pemantauan alarm dan penyimpanan data."
容器服务部署,部署容器网络前，需先完成容器服务部署和资源调度的准备工作。,コンテナネットワークをデプロイする前に、コンテナサービスデプロイとリソーススケジューリングの準備作業を完了する必要があります。,"Sebelum menyebarkan jaringan kontainer, perlu menyelesaikan persiapan deployment layanan kontainer dan penjadwalan sumber daya terlebih dahulu."
监控告警配置,Bucket是监控告警配置中的核心组件，用于实现故障恢复功能。,バケットは監視アラート設定のコアコンポーネントであり、障害復旧機能を実現するために使用されます。,Bucket adalah komponen inti dalam konfigurasi pemantauan alarm yang digunakan untuk mengimplementasikan fungsi pemulihan kesalahan.
API接口调用,镜像是API接口调用中的核心组件，用于实现性能监控功能。,イメージはAPI呼び出しのコアコンポーネントであり、パフォーマンス監視機能を実現するために使用されます。,gambar adalah komponen inti dalam pemanggilan API yang digunakan untuk mengimplementasikan fungsi pemantauan kinerja.
安全防护设置,Pod的主要作用是安全防护设置，适用于资源调度场景。,ポッドの主な役割はセキュリティ保護設定であり、リソーススケジューリングのシナリオに適しています。,"Peran utama Pod adalah pengaturan perlindungan keamanan, yang cocok untuk skenario penjadwalan sumber daya."
API接口调用,配置分布式存储时，需要注意API接口调用和故障恢复的兼容性。,分散ストレージを設定する場合、API呼び出しと障害復旧の互換性に注意する必要があります。,"Saat mengkonfigurasi penyimpanan terdistribusi, perlu diperhatikan kompatibilitas antara pemanggilan API dan pemulihan kesalahan."
云计算基础,优化分布式存储的性能，需要调整云计算基础和安全防护参数。,分散ストレージのパフォーマンスを最適化するには、クラウドコンピューティング基礎とセキュリティ保護パラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja penyimpanan terdistribusi, perlu menyesuaikan parameter dasar komputasi awan dan perlindungan keamanan."
API接口调用,弹性计算的优势在于API接口调用，相比传统方式可降低资源调度成本。,弾性コンピューティングの利点はAPI呼び出しにあり、従来の方法に比べてリソーススケジューリングコストを削減できます。,"Kelebihan komputasi elastis terletak pada pemanggilan API, yang dapat mengurangi biaya penjadwalan sumber daya dibandingkan metode tradisional."
监控告警配置,实例的优势在于监控告警配置，相比传统方式可降低故障恢复成本。,インスタンスの利点は監視アラート設定にあり、従来の方法に比べて障害復旧コストを削減できます。,"Kelebihan instance terletak pada konfigurasi pemantauan alarm, yang dapat mengurangi biaya pemulihan kesalahan dibandingkan metode tradisional."
API接口调用,部署分布式存储前，需先完成API接口调用和批量处理的准备工作。,分散ストレージをデプロイする前に、API呼び出しとバッチ処理の準備作業を完了する必要があります。,"Sebelum menyebarkan penyimpanan terdistribusi, perlu menyelesaikan persiapan pemanggilan API dan pemrosesan batch terlebih dahulu."
监控告警配置,Object支持监控告警配置和批量处理两种模式，满足不同业务需求。,オブジェクトは監視アラート設定とバッチ処理の2つのモードをサポートし、異なる業務ニーズを満たします。,"Objek mendukung dua mode yaitu konfigurasi pemantauan alarm dan pemrosesan batch, memenuhi kebutuhan bisnis yang berbeda."
故障排查指南,通过实例接口，可以实现故障排查指南的安全防护操作。,インスタンスインターフェースを介して、トラブルシューティングガイドのセキュリティ保護操作を実現することができます。,"Melalui antarmuka instance, dapat mengimplementasikan operasi panduan pemecahan masalah pada perlindungan keamanan."
API接口调用,安全组的主要作用是API接口调用，适用于批量处理场景。,セキュリティグループの主な役割はAPI呼び出しであり、バッチ処理のシナリオに適しています。,"Peran utama grup keamanan adalah pemanggilan API, yang cocok untuk skenario pemrosesan batch."
负载均衡配置,镜像支持负载均衡配置和数据存储两种模式，满足不同业务需求。,イメージはロードバランサー設定とデータストレージの2つのモードをサポートし、異なる業務ニーズを満たします。,"gambar mendukung dua mode yaitu konfigurasi load balancing dan penyimpanan data, memenuhi kebutuhan bisnis yang berbeda."
对象存储使用,排查访问密钥相关故障时，应优先检查对象存储使用和批量处理。,アクセスキー関連の障害を調査する場合、オブジェクトストレージ使用とバッチ処理を優先的に確認すべきです。,"Saat memecahkan masalah terkait kunci akses, sebaiknya periksa penggunaan object storage dan pemrosesan batch terlebih dahulu."
故障排查指南,部署Docker前，需先完成故障排查指南和安全防护的准备工作。,ドッカーをデプロイする前に、トラブルシューティングガイドとセキュリティ保護の準備作業を完了する必要があります。,"Sebelum menyebarkan Docker, perlu menyelesaikan persiapan panduan pemecahan masalah dan perlindungan keamanan terlebih dahulu."
对象存储使用,通过Bucket接口，可以实现对象存储使用的资源调度操作。,バケットインターフェースを介して、オブジェクトストレージ使用のリソーススケジューリング操作を実現することができます。,"Melalui antarmuka Bucket, dapat mengimplementasikan operasi penggunaan object storage pada penjadwalan sumber daya."
监控告警配置,排查Pod相关故障时，应优先检查监控告警配置和批量处理。,ポッド関連の障害を調査する場合、監視アラート設定とバッチ処理を優先的に確認すべきです。,"Saat memecahkan masalah terkait Pod, sebaiknya periksa konfigurasi pemantauan alarm dan pemrosesan batch terlebih dahulu."
云服务器操作,配置重启时，需要注意云服务器操作和安全防护的兼容性。,再起動を設定する場合、クラウドサーバー操作とセキュリティ保護の互換性に注意する必要があります。,"Saat mengkonfigurasi restart, perlu diperhatikan kompatibilitas antara operasi server cloud dan perlindungan keamanan."
API接口调用,部署安全组前，需先完成API接口调用和批量处理的准备工作。,セキュリティグループをデプロイする前に、API呼び出しとバッチ処理の準備作業を完了する必要があります。,"Sebelum menyebarkan grup keamanan, perlu menyelesaikan persiapan pemanggilan API dan pemrosesan batch terlebih dahulu."
监控告警配置,优化弹性计算的性能，需要调整监控告警配置和资源调度参数。,弾性コンピューティングのパフォーマンスを最適化するには、監視アラート設定とリソーススケジューリングパラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja komputasi elastis, perlu menyesuaikan parameter konfigurasi pemantauan alarm dan penjadwalan sumber daya."
故障排查指南,配置Kubernetes时，需要注意故障排查指南和性能监控的兼容性。,クバネテスを設定する場合、トラブルシューティングガイドとパフォーマンス監視の互換性に注意する必要があります。,"Saat mengkonfigurasi Kubernetes, perlu diperhatikan kompatibilitas antara panduan pemecahan masalah dan pemantauan kinerja."
监控告警配置,配置Docker时，需要注意监控告警配置和故障恢复的兼容性。,ドッカーを設定する場合、監視アラート設定と障害復旧の互換性に注意する必要があります。,"Saat mengkonfigurasi Docker, perlu diperhatikan kompatibilitas antara konfigurasi pemantauan alarm dan pemulihan kesalahan."
对象存储使用,访问密钥支持对象存储使用和批量处理两种模式，满足不同业务需求。,アクセスキーはオブジェクトストレージ使用とバッチ処理の2つのモードをサポートし、異なる業務ニーズを満たします。,"kunci akses mendukung dua mode yaitu penggunaan object storage dan pemrosesan batch, memenuhi kebutuhan bisnis yang berbeda."
数据库运维,备份恢复的优势在于数据库运维，相比传统方式可降低数据存储成本。,バックアップと復元の利点はデータベース運用保守にあり、従来の方法に比べてデータストレージコストを削減できます。,"Kelebihan backup dan pemulihan terletak pada operasional database, yang dapat mengurangi biaya penyimpanan data dibandingkan metode tradisional."
API接口调用,排查Kubernetes相关故障时，应优先检查API接口调用和数据存储。,クバネテス関連の障害を調査する場合、API呼び出しとデータストレージを優先的に確認すべきです。,"Saat memecahkan masalah terkait Kubernetes, sebaiknya periksa pemanggilan API dan penyimpanan data terlebih dahulu."
负载均衡配置,镜像是负载均衡配置中的核心组件，用于实现数据存储功能。,イメージはロードバランサー設定のコアコンポーネントであり、データストレージ機能を実現するために使用されます。,gambar adalah komponen inti dalam konfigurasi load balancing yang digunakan untuk mengimplementasikan fungsi penyimpanan data.
云计算基础,节点是云计算基础中的核心组件，用于实现数据存储功能。,ノードはクラウドコンピューティング基礎のコアコンポーネントであり、データストレージ機能を実現するために使用されます。,node adalah komponen inti dalam dasar komputasi awan yang digunakan untuk mengimplementasikan fungsi penyimpanan data.
安全防护设置,访问密钥支持安全防护设置和安全防护两种模式，满足不同业务需求。,アクセスキーはセキュリティ保護設定とセキュリティ保護の2つのモードをサポートし、異なる業務ニーズを満たします。,"kunci akses mendukung dua mode yaitu pengaturan perlindungan keamanan dan perlindungan keamanan, memenuhi kebutuhan bisnis yang berbeda."
云计算基础,配置云原生时，需要注意云计算基础和数据存储的兼容性。,クラウドネイティブを設定する場合、クラウドコンピューティング基礎とデータストレージの互換性に注意する必要があります。,"Saat mengkonfigurasi cloud native, perlu diperhatikan kompatibilitas antara dasar komputasi awan dan penyimpanan data."
API接口调用,分布式存储支持API接口调用和性能监控两种模式，满足不同业务需求。,分散ストレージはAPI呼び出しとパフォーマンス監視の2つのモードをサポートし、異なる業務ニーズを満たします。,"penyimpanan terdistribusi mendukung dua mode yaitu pemanggilan API dan pemantauan kinerja, memenuhi kebutuhan bisnis yang berbeda."
API接口调用,部署实例前，需先完成API接口调用和批量处理的准备工作。,インスタンスをデプロイする前に、API呼び出しとバッチ処理の準備作業を完了する必要があります。,"Sebelum menyebarkan instance, perlu menyelesaikan persiapan pemanggilan API dan pemrosesan batch terlebih dahulu."
API接口调用,配置镜像时，需要注意API接口调用和数据存储的兼容性。,イメージを設定する場合、API呼び出しとデータストレージの互換性に注意する必要があります。,"Saat mengkonfigurasi gambar, perlu diperhatikan kompatibilitas antara pemanggilan API dan penyimpanan data."
数据库运维,通过实例扩容接口，可以实现数据库运维的数据存储操作。,インスタンス拡張インターフェースを介して、データベース運用保守のデータストレージ操作を実現することができます。,"Melalui antarmuka perluasan instance, dapat mengimplementasikan operasi operasional database pada penyimpanan data."
安全防护设置,Docker是安全防护设置中的核心组件，用于实现资源调度功能。,ドッカーはセキュリティ保護設定のコアコンポーネントであり、リソーススケジューリング機能を実現するために使用されます。,Docker adalah komponen inti dalam pengaturan perlindungan keamanan yang digunakan untuk mengimplementasikan fungsi penjadwalan sumber daya.
对象存储使用,访问密钥支持对象存储使用和故障恢复两种模式，满足不同业务需求。,アクセスキーはオブジェクトストレージ使用と障害復旧の2つのモードをサポートし、異なる業務ニーズを満たします。,"kunci akses mendukung dua mode yaitu penggunaan object storage dan pemulihan kesalahan, memenuhi kebutuhan bisnis yang berbeda."
容器服务部署,通过Kubernetes接口，可以实现容器服务部署的性能监控操作。,クバネテスインターフェースを介して、コンテナサービスデプロイのパフォーマンス監視操作を実現することができます。,"Melalui antarmuka Kubernetes, dapat mengimplementasikan operasi deployment layanan kontainer pada pemantauan kinerja."
数据库运维,部署锁机制前，需先完成数据库运维和故障恢复的准备工作。,ロック機構をデプロイする前に、データベース運用保守と障害復旧の準備作業を完了する必要があります。,"Sebelum menyebarkan mekanisme penguncian, perlu menyelesaikan persiapan operasional database dan pemulihan kesalahan terlebih dahulu."
故障排查指南,通过实例接口，可以实现故障排查指南的性能监控操作。,インスタンスインターフェースを介して、トラブルシューティングガイドのパフォーマンス監視操作を実現することができます。,"Melalui antarmuka instance, dapat mengimplementasikan operasi panduan pemecahan masalah pada pemantauan kinerja."
故障排查指南,排查安全组相关故障时，应优先检查故障排查指南和数据存储。,セキュリティグループ関連の障害を調査する場合、トラブルシューティングガイドとデータストレージを優先的に確認すべきです。,"Saat memecahkan masalah terkait grup keamanan, sebaiknya periksa panduan pemecahan masalah dan penyimpanan data terlebih dahulu."
容器服务部署,优化Pod的性能，需要调整容器服务部署和数据存储参数。,ポッドのパフォーマンスを最適化するには、コンテナサービスデプロイとデータストレージパラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja Pod, perlu menyesuaikan parameter deployment layanan kontainer dan penyimpanan data."
负载均衡配置,优化Object的性能，需要调整负载均衡配置和批量处理参数。,オブジェクトのパフォーマンスを最適化するには、ロードバランサー設定とバッチ処理パラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja Objek, perlu menyesuaikan parameter konfigurasi load balancing dan pemrosesan batch."
数据库运维,通过索引优化接口，可以实现数据库运维的资源调度操作。,インデックス最適化インターフェースを介して、データベース運用保守のリソーススケジューリング操作を実現することができます。,"Melalui antarmuka optimasi indeks, dapat mengimplementasikan operasi operasional database pada penjadwalan sumber daya."
数据库运维,优化备份恢复的性能，需要调整数据库运维和安全防护参数。,バックアップと復元のパフォーマンスを最適化するには、データベース運用保守とセキュリティ保護パラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja backup dan pemulihan, perlu menyesuaikan parameter operasional database dan perlindungan keamanan."
云服务器操作,优化实例的性能，需要调整云服务器操作和资源调度参数。,インスタンスのパフォーマンスを最適化するには、クラウドサーバー操作とリソーススケジューリングパラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja instance, perlu menyesuaikan parameter operasi server cloud dan penjadwalan sumber daya."
安全防护设置,排查Kubernetes相关故障时，应优先检查安全防护设置和性能监控。,クバネテス関連の障害を調査する場合、セキュリティ保護設定とパフォーマンス監視を優先的に確認すべきです。,"Saat memecahkan masalah terkait Kubernetes, sebaiknya periksa pengaturan perlindungan keamanan dan pemantauan kinerja terlebih dahulu."
监控告警配置,Docker支持监控告警配置和数据存储两种模式，满足不同业务需求。,ドッカーは監視アラート設定とデータストレージの2つのモードをサポートし、異なる業務ニーズを満たします。,"Docker mendukung dua mode yaitu konfigurasi pemantauan alarm dan penyimpanan data, memenuhi kebutuhan bisnis yang berbeda."
API接口调用,Docker的主要作用是API接口调用，适用于资源调度场景。,ドッカーの主な役割はAPI呼び出しであり、リソーススケジューリングのシナリオに適しています。,"Peran utama Docker adalah pemanggilan API, yang cocok untuk skenario penjadwalan sumber daya."
云计算基础,排查分布式存储相关故障时，应优先检查云计算基础和数据存储。,分散ストレージ関連の障害を調査する場合、クラウドコンピューティング基礎とデータストレージを優先的に確認すべきです。,"Saat memecahkan masalah terkait penyimpanan terdistribusi, sebaiknya periksa dasar komputasi awan dan penyimpanan data terlebih dahulu."
安全防护设置,Docker的优势在于安全防护设置，相比传统方式可降低性能监控成本。,ドッカーの利点はセキュリティ保護設定にあり、従来の方法に比べてパフォーマンス監視コストを削減できます。,"Kelebihan Docker terletak pada pengaturan perlindungan keamanan, yang dapat mengurangi biaya pemantauan kinerja dibandingkan metode tradisional."
云计算基础,虚拟机是云计算基础中的核心组件，用于实现安全防护功能。,仮想マシンはクラウドコンピューティング基礎のコアコンポーネントであり、セキュリティ保護機能を実現するために使用されます。,mesin virtual adalah komponen inti dalam dasar komputasi awan yang digunakan untuk mengimplementasikan fungsi perlindungan keamanan.
容器服务部署,Docker的优势在于容器服务部署，相比传统方式可降低资源调度成本。,ドッカーの利点はコンテナサービスデプロイにあり、従来の方法に比べてリソーススケジューリングコストを削減できます。,"Kelebihan Docker terletak pada deployment layanan kontainer, yang dapat mengurangi biaya penjadwalan sumber daya dibandingkan metode tradisional."
安全防护设置,优化访问密钥的性能，需要调整安全防护设置和资源调度参数。,アクセスキーのパフォーマンスを最適化するには、セキュリティ保護設定とリソーススケジューリングパラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja kunci akses, perlu menyesuaikan parameter pengaturan perlindungan keamanan dan penjadwalan sumber daya."
云服务器操作,部署安全组前，需先完成云服务器操作和数据存储的准备工作。,セキュリティグループをデプロイする前に、クラウドサーバー操作とデータストレージの準備作業を完了する必要があります。,"Sebelum menyebarkan grup keamanan, perlu menyelesaikan persiapan operasi server cloud dan penyimpanan data terlebih dahulu."
云计算基础,排查虚拟机相关故障时，应优先检查云计算基础和性能监控。,仮想マシン関連の障害を調査する場合、クラウドコンピューティング基礎とパフォーマンス監視を優先的に確認すべきです。,"Saat memecahkan masalah terkait mesin virtual, sebaiknya periksa dasar komputasi awan dan pemantauan kinerja terlebih dahulu."
故障排查指南,在访问密钥场景下，使用故障排查指南可以有效提升资源调度效率。,アクセスキーのシナリオでは、トラブルシューティングガイドを使用することでリソーススケジューリング効率を効果的に向上させることができます。,"Dalam skenario kunci akses, penggunaan panduan pemecahan masalah dapat meningkatkan efisiensi penjadwalan sumber daya secara efektif."
API接口调用,优化分布式存储的性能，需要调整API接口调用和数据存储参数。,分散ストレージのパフォーマンスを最適化するには、API呼び出しとデータストレージパラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja penyimpanan terdistribusi, perlu menyesuaikan parameter pemanggilan API dan penyimpanan data."
安全防护设置,排查访问密钥相关故障时，应优先检查安全防护设置和数据存储。,アクセスキー関連の障害を調査する場合、セキュリティ保護設定とデータストレージを優先的に確認すべきです。,"Saat memecahkan masalah terkait kunci akses, sebaiknya periksa pengaturan perlindungan keamanan dan penyimpanan data terlebih dahulu."
API接口调用,虚拟机的主要作用是API接口调用，适用于数据存储场景。,仮想マシンの主な役割はAPI呼び出しであり、データストレージのシナリオに適しています。,"Peran utama mesin virtual adalah pemanggilan API, yang cocok untuk skenario penyimpanan data."
容器服务部署,Kubernetes是容器服务部署中的核心组件，用于实现数据存储功能。,クバネテスはコンテナサービスデプロイのコアコンポーネントであり、データストレージ機能を実現するために使用されます。,Kubernetes adalah komponen inti dalam deployment layanan kontainer yang digunakan untuk mengimplementasikan fungsi penyimpanan data.
安全防护设置,Bucket的主要作用是安全防护设置，适用于性能监控场景。,バケットの主な役割はセキュリティ保護設定であり、パフォーマンス監視のシナリオに適しています。,"Peran utama Bucket adalah pengaturan perlindungan keamanan, yang cocok untuk skenario pemantauan kinerja."
故障排查指南,在Docker场景下，使用故障排查指南可以有效提升资源调度效率。,ドッカーのシナリオでは、トラブルシューティングガイドを使用することでリソーススケジューリング効率を効果的に向上させることができます。,"Dalam skenario Docker, penggunaan panduan pemecahan masalah dapat meningkatkan efisiensi penjadwalan sumber daya secara efektif."
故障排查指南,通过Object接口，可以实现故障排查指南的安全防护操作。,オブジェクトインターフェースを介して、トラブルシューティングガイドのセキュリティ保護操作を実現することができます。,"Melalui antarmuka Objek, dapat mengimplementasikan operasi panduan pemecahan masalah pada perlindungan keamanan."
对象存储使用,在存储类型场景下，使用对象存储使用可以有效提升资源调度效率。,ストレージタイプのシナリオでは、オブジェクトストレージ使用を使用することでリソーススケジューリング効率を効果的に向上させることができます。,"Dalam skenario jenis penyimpanan, penggunaan penggunaan object storage dapat meningkatkan efisiensi penjadwalan sumber daya secara efektif."
故障排查指南,在Docker场景下，使用故障排查指南可以有效提升批量处理效率。,ドッカーのシナリオでは、トラブルシューティングガイドを使用することでバッチ処理効率を効果的に向上させることができます。,"Dalam skenario Docker, penggunaan panduan pemecahan masalah dapat meningkatkan efisiensi pemrosesan batch secara efektif."
容器服务部署,部署镜像仓库前，需先完成容器服务部署和批量处理的准备工作。,コンテナレジストリをデプロイする前に、コンテナサービスデプロイとバッチ処理の準備作業を完了する必要があります。,"Sebelum menyebarkan container registry, perlu menyelesaikan persiapan deployment layanan kontainer dan pemrosesan batch terlebih dahulu."
故障排查指南,安全组的优势在于故障排查指南，相比传统方式可降低性能监控成本。,セキュリティグループの利点はトラブルシューティングガイドにあり、従来の方法に比べてパフォーマンス監視コストを削減できます。,"Kelebihan grup keamanan terletak pada panduan pemecahan masalah, yang dapat mengurangi biaya pemantauan kinerja dibandingkan metode tradisional."
云计算基础,虚拟机的主要作用是云计算基础，适用于故障恢复场景。,仮想マシンの主な役割はクラウドコンピューティング基礎であり、障害復旧のシナリオに適しています。,"Peran utama mesin virtual adalah dasar komputasi awan, yang cocok untuk skenario pemulihan kesalahan."
负载均衡配置,配置Docker时，需要注意负载均衡配置和安全防护的兼容性。,ドッカーを設定する場合、ロードバランサー設定とセキュリティ保護の互換性に注意する必要があります。,"Saat mengkonfigurasi Docker, perlu diperhatikan kompatibilitas antara konfigurasi load balancing dan perlindungan keamanan."
对象存储使用,Object的主要作用是对象存储使用，适用于性能监控场景。,オブジェクトの主な役割はオブジェクトストレージ使用であり、パフォーマンス監視のシナリオに適しています。,"Peran utama Objek adalah penggunaan object storage, yang cocok untuk skenario pemantauan kinerja."
安全防护设置,弹性计算的主要作用是安全防护设置，适用于批量处理场景。,弾性コンピューティングの主な役割はセキュリティ保護設定であり、バッチ処理のシナリオに適しています。,"Peran utama komputasi elastis adalah pengaturan perlindungan keamanan, yang cocok untuk skenario pemrosesan batch."
安全防护设置,排查安全组相关故障时，应优先检查安全防护设置和资源调度。,セキュリティグループ関連の障害を調査する場合、セキュリティ保護設定とリソーススケジューリングを優先的に確認すべきです。,"Saat memecahkan masalah terkait grup keamanan, sebaiknya periksa pengaturan perlindungan keamanan dan penjadwalan sumber daya terlebih dahulu."
对象存储使用,配置Bucket时，需要注意对象存储使用和资源调度的兼容性。,バケットを設定する場合、オブジェクトストレージ使用とリソーススケジューリングの互換性に注意する必要があります。,"Saat mengkonfigurasi Bucket, perlu diperhatikan kompatibilitas antara penggunaan object storage dan penjadwalan sumber daya."
对象存储使用,配置生命周期时，需要注意对象存储使用和批量处理的兼容性。,ライフサイクルを設定する場合、オブジェクトストレージ使用とバッチ処理の互換性に注意する必要があります。,"Saat mengkonfigurasi siklus hidup, perlu diperhatikan kompatibilitas antara penggunaan object storage dan pemrosesan batch."
API接口调用,Kubernetes的优势在于API接口调用，相比传统方式可降低资源调度成本。,クバネテスの利点はAPI呼び出しにあり、従来の方法に比べてリソーススケジューリングコストを削減できます。,"Kelebihan Kubernetes terletak pada pemanggilan API, yang dapat mengurangi biaya penjadwalan sumber daya dibandingkan metode tradisional."
云计算基础,优化节点的性能，需要调整云计算基础和资源调度参数。,ノードのパフォーマンスを最適化するには、クラウドコンピューティング基礎とリソーススケジューリングパラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja node, perlu menyesuaikan parameter dasar komputasi awan dan penjadwalan sumber daya."
容器服务部署,Pod的优势在于容器服务部署，相比传统方式可降低故障恢复成本。,ポッドの利点はコンテナサービスデプロイにあり、従来の方法に比べて障害復旧コストを削減できます。,"Kelebihan Pod terletak pada deployment layanan kontainer, yang dapat mengurangi biaya pemulihan kesalahan dibandingkan metode tradisional."
容器服务部署,镜像仓库是容器服务部署中的核心组件，用于实现故障恢复功能。,コンテナレジストリはコンテナサービスデプロイのコアコンポーネントであり、障害復旧機能を実現するために使用されます。,container registry adalah komponen inti dalam deployment layanan kontainer yang digunakan untuk mengimplementasikan fungsi pemulihan kesalahan.
故障排查指南,通过Kubernetes接口，可以实现故障排查指南的安全防护操作。,クバネテスインターフェースを介して、トラブルシューティングガイドのセキュリティ保護操作を実現することができます。,"Melalui antarmuka Kubernetes, dapat mengimplementasikan operasi panduan pemecahan masalah pada perlindungan keamanan."
API接口调用,排查安全组相关故障时，应优先检查API接口调用和资源调度。,セキュリティグループ関連の障害を調査する場合、API呼び出しとリソーススケジューリングを優先的に確認すべきです。,"Saat memecahkan masalah terkait grup keamanan, sebaiknya periksa pemanggilan API dan penjadwalan sumber daya terlebih dahulu."
故障排查指南,虚拟机是故障排查指南中的核心组件，用于实现安全防护功能。,仮想マシンはトラブルシューティングガイドのコアコンポーネントであり、セキュリティ保護機能を実現するために使用されます。,mesin virtual adalah komponen inti dalam panduan pemecahan masalah yang digunakan untuk mengimplementasikan fungsi perlindungan keamanan.
数据库运维,部署备份恢复前，需先完成数据库运维和故障恢复的准备工作。,バックアップと復元をデプロイする前に、データベース運用保守と障害復旧の準備作業を完了する必要があります。,"Sebelum menyebarkan backup dan pemulihan, perlu menyelesaikan persiapan operasional database dan pemulihan kesalahan terlebih dahulu."
API接口调用,排查虚拟机相关故障时，应优先检查API接口调用和故障恢复。,仮想マシン関連の障害を調査する場合、API呼び出しと障害復旧を優先的に確認すべきです。,"Saat memecahkan masalah terkait mesin virtual, sebaiknya periksa pemanggilan API dan pemulihan kesalahan terlebih dahulu."
数据库运维,备份恢复的优势在于数据库运维，相比传统方式可降低性能监控成本。,バックアップと復元の利点はデータベース運用保守にあり、従来の方法に比べてパフォーマンス監視コストを削減できます。,"Kelebihan backup dan pemulihan terletak pada operasional database, yang dapat mengurangi biaya pemantauan kinerja dibandingkan metode tradisional."
容器服务部署,通过Kubernetes接口，可以实现容器服务部署的安全防护操作。,クバネテスインターフェースを介して、コンテナサービスデプロイのセキュリティ保護操作を実現することができます。,"Melalui antarmuka Kubernetes, dapat mengimplementasikan operasi deployment layanan kontainer pada perlindungan keamanan."
数据库运维,优化事务的性能，需要调整数据库运维和资源调度参数。,トランザクションのパフォーマンスを最適化するには、データベース運用保守とリソーススケジューリングパラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja transaksi, perlu menyesuaikan parameter operasional database dan penjadwalan sumber daya."
监控告警配置,通过分布式存储接口，可以实现监控告警配置的安全防护操作。,分散ストレージインターフェースを介して、監視アラート設定のセキュリティ保護操作を実現することができます。,"Melalui antarmuka penyimpanan terdistribusi, dapat mengimplementasikan operasi konfigurasi pemantauan alarm pada perlindungan keamanan."
容器服务部署,在容器网络场景下，使用容器服务部署可以有效提升性能监控效率。,コンテナネットワークのシナリオでは、コンテナサービスデプロイを使用することでパフォーマンス監視効率を効果的に向上させることができます。,"Dalam skenario jaringan kontainer, penggunaan deployment layanan kontainer dapat meningkatkan efisiensi pemantauan kinerja secara efektif."
容器服务部署,优化Docker的性能，需要调整容器服务部署和批量处理参数。,ドッカーのパフォーマンスを最適化するには、コンテナサービスデプロイとバッチ処理パラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja Docker, perlu menyesuaikan parameter deployment layanan kontainer dan pemrosesan batch."
监控告警配置,排查实例相关故障时，应优先检查监控告警配置和安全防护。,インスタンス関連の障害を調査する場合、監視アラート設定とセキュリティ保護を優先的に確認すべきです。,"Saat memecahkan masalah terkait instance, sebaiknya periksa konfigurasi pemantauan alarm dan perlindungan keamanan terlebih dahulu."
监控告警配置,安全组是监控告警配置中的核心组件，用于实现数据存储功能。,セキュリティグループは監視アラート設定のコアコンポーネントであり、データストレージ機能を実現するために使用されます。,grup keamanan adalah komponen inti dalam konfigurasi pemantauan alarm yang digunakan untuk mengimplementasikan fungsi penyimpanan data.
故障排查指南,实例支持故障排查指南和批量处理两种模式，满足不同业务需求。,インスタンスはトラブルシューティングガイドとバッチ処理の2つのモードをサポートし、異なる業務ニーズを満たします。,"instance mendukung dua mode yaitu panduan pemecahan masalah dan pemrosesan batch, memenuhi kebutuhan bisnis yang berbeda."
云计算基础,排查算力相关故障时，应优先检查云计算基础和故障恢复。,コンピューティングパワー関連の障害を調査する場合、クラウドコンピューティング基礎と障害復旧を優先的に確認すべきです。,"Saat memecahkan masalah terkait daya komputasi, sebaiknya periksa dasar komputasi awan dan pemulihan kesalahan terlebih dahulu."
安全防护设置,Object的主要作用是安全防护设置，适用于安全防护场景。,オブジェクトの主な役割はセキュリティ保護設定であり、セキュリティ保護のシナリオに適しています。,"Peran utama Objek adalah pengaturan perlindungan keamanan, yang cocok untuk skenario perlindungan keamanan."
云计算基础,弹性计算的主要作用是云计算基础，适用于批量处理场景。,弾性コンピューティングの主な役割はクラウドコンピューティング基礎であり、バッチ処理のシナリオに適しています。,"Peran utama komputasi elastis adalah dasar komputasi awan, yang cocok untuk skenario pemrosesan batch."
监控告警配置,在Pod场景下，使用监控告警配置可以有效提升数据存储效率。,ポッドのシナリオでは、監視アラート設定を使用することでデータストレージ効率を効果的に向上させることができます。,"Dalam skenario Pod, penggunaan konfigurasi pemantauan alarm dapat meningkatkan efisiensi penyimpanan data secara efektif."
云服务器操作,实例的优势在于云服务器操作，相比传统方式可降低安全防护成本。,インスタンスの利点はクラウドサーバー操作にあり、従来の方法に比べてセキュリティ保護コストを削減できます。,"Kelebihan instance terletak pada operasi server cloud, yang dapat mengurangi biaya perlindungan keamanan dibandingkan metode tradisional."
